docid,level,parent,code,label
251,2,247,sdv.mhep.derm,sdv.mhep.derm = Sciences du Vivant [q-bio]/Médecine humaine et pathologie/Dermatologie
252,2,247,sdv.mhep.em,sdv.mhep.em = Sciences du Vivant [q-bio]/Médecine humaine et pathologie/Endocrinologie et métabolisme
253,2,247,sdv.mhep.geg,sdv.mhep.geg = Sciences du Vivant [q-bio]/Médecine humaine et pathologie/Gériatrie et gérontologie
254,2,247,sdv.mhep.geo,sdv.mhep.geo = Sciences du Vivant [q-bio]/Médecine humaine et pathologie/Gynécologie et obstétrique
255,2,247,sdv.mhep.heg,sdv.mhep.heg = Sciences du Vivant [q-bio]/Médecine humaine et pathologie/Hépatologie et Gastroentérologie
256,2,247,sdv.mhep.hem,sdv.mhep.hem = Sciences du Vivant [q-bio]/Médecine humaine et pathologie/Hématologie
257,2,247,sdv.mhep.me,sdv.mhep.me = Sciences du Vivant [q-bio]/Médecine humaine et pathologie/Maladies émergentes
258,2,247,sdv.mhep.mi,sdv.mhep.mi = Sciences du Vivant [q-bio]/Médecine humaine et pathologie/Maladies infectieuses
259,2,247,sdv.mhep.os,sdv.mhep.os = Sciences du Vivant [q-bio]/Médecine humaine et pathologie/Organes des sens
260,2,247,sdv.mhep.ped,sdv.mhep.ped = Sciences du Vivant [q-bio]/Médecine humaine et pathologie/Pédiatrie
261,2,247,sdv.mhep.phy,sdv.mhep.phy = Sciences du Vivant [q-bio]/Médecine humaine et pathologie/Physiologie [q-bio.TO]
262,2,247,sdv.mhep.psm,sdv.mhep.psm = Sciences du Vivant [q-bio]/Médecine humaine et pathologie/Psychiatrie et santé mentale
263,2,247,sdv.mhep.psr,sdv.mhep.psr = Sciences du Vivant [q-bio]/Médecine humaine et pathologie/Pneumologie et système respiratoire
264,2,247,sdv.mhep.rsoa,sdv.mhep.rsoa = Sciences du Vivant [q-bio]/Médecine humaine et pathologie/Rhumatologie et système ostéo-articulaire
265,2,247,sdv.mhep.un,sdv.mhep.un = Sciences du Vivant [q-bio]/Médecine humaine et pathologie/Urologie et Néphrologie
266,1,193,sdv.mp,sdv.mp = Sciences du Vivant [q-bio]/Microbiologie et Parasitologie
267,2,266,sdv.mp.bac,sdv.mp.bac = Sciences du Vivant [q-bio]/Microbiologie et Parasitologie/Bactériologie
268,2,266,sdv.mp.myc,sdv.mp.myc = Sciences du Vivant [q-bio]/Microbiologie et Parasitologie/Mycologie
269,2,266,sdv.mp.par,sdv.mp.par = Sciences du Vivant [q-bio]/Microbiologie et Parasitologie/Parasitologie
270,2,266,sdv.mp.pro,sdv.mp.pro = Sciences du Vivant [q-bio]/Microbiologie et Parasitologie/Protistologie
271,2,266,sdv.mp.vir,sdv.mp.vir = Sciences du Vivant [q-bio]/Microbiologie et Parasitologie/Virologie
272,1,193,sdv.neu,sdv.neu = Sciences du Vivant [q-bio]/Neurosciences [q-bio.NC]
273,2,272,sdv.neu.nb,sdv.neu.nb = Sciences du Vivant [q-bio]/Neurosciences [q-bio.NC]/Neurobiologie
274,2,272,sdv.neu.pc,sdv.neu.pc = Sciences du Vivant [q-bio]/Neurosciences [q-bio.NC]/Psychologie et comportements
275,2,272,sdv.neu.sc,sdv.neu.sc = Sciences du Vivant [q-bio]/Neurosciences [q-bio.NC]/Sciences cognitives
276,1,193,sdv.ot,sdv.ot = Sciences du Vivant [q-bio]/Autre [q-bio.OT]
277,1,193,sdv.sa,sdv.sa = Sciences du Vivant [q-bio]/Sciences agricoles
